,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,27,27,53,53,53,53,51,51,51,51,51
Reserves,314,304,311,474,750,858,"1,032","1,157","1,367","2,246","2,445","2,365"
Borrowings +,423,475,408,0,9,0,0,0,0,0,0,0
Other Liabilities +,181,209,251,91,64,81,73,57,53,112,135,143
Total Liabilities,946,"1,015",997,619,875,992,"1,159","1,266","1,471","2,409","2,632","2,559"
Fixed Assets +,367,405,393,169,146,171,179,209,225,265,297,303
CWIP,22,7,4,2,0,0,0,0,3,6,0,0
Investments,14,8,8,299,605,732,913,"1,001","1,133","2,047","2,208","2,132"
Other Assets +,543,595,591,149,124,89,67,55,110,91,127,125
Total Assets,946,"1,015",997,619,875,992,"1,159","1,266","1,471","2,409","2,632","2,559"
