,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,20,20,20,20
Reserves,153,172,179,195
Borrowings +,110,104,117,138
Other Liabilities +,80,196,213,197
Total Liabilities,363,491,529,551
Fixed Assets +,183,176,181,174
CWIP,0,0,0,0
Investments,2,26,28,3
Other Assets +,178,288,320,374
Total Assets,363,491,529,551
