,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,817,"1,180","1,415","1,568","1,280","1,813","2,112"
Expenses +,742,"1,073","1,240","1,402","1,189","1,690","1,944"
Operating Profit,75,107,175,166,91,123,168
OPM %,9%,9%,12%,11%,7%,7%,8%
Other Income +,52,52,79,81,88,78,71
Interest,44,53,62,77,63,78,90
Depreciation,19,21,21,23,26,24,23
Profit before tax,65,84,170,147,90,99,126
Tax %,-9%,2%,20%,39%,25%,24%,
Net Profit,70,83,136,90,67,75,97
EPS in Rs,20.32,23.84,39.16,25.96,19.38,21.60,28.10
