,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,124,516,517,500
Reserves,"1,208",975,"1,137","1,191"
Borrowings +,934,702,602,535
Other Liabilities +,182,220,189,177
Total Liabilities,"2,433","2,397","2,428","2,403"
Fixed Assets +,"1,963","1,845","1,790","1,780"
CWIP,5,29,10,9
Investments,60,140,141,196
Other Assets +,404,382,487,418
Total Assets,"2,433","2,397","2,428","2,403"
