,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,18,18,18,18,18,18,18,18,18,18,18
Reserves,299,387,555,643,758,787,910,"1,066","1,220","1,362","1,561","1,896","2,169"
Borrowings +,162,296,372,484,371,398,501,518,603,708,808,888,"1,192"
Other Liabilities +,183,198,163,207,243,309,292,387,411,393,572,827,"1,165"
Total Liabilities,661,899,"1,108","1,352","1,389","1,512","1,722","1,988","2,253","2,481","2,959","3,629","4,544"
Fixed Assets +,199,288,372,491,585,703,777,923,"1,043","1,209","1,288","1,493","1,567"
CWIP,29,50,61,81,61,30,91,107,178,165,293,230,213
Investments,12,11,49,25,37,40,53,17,33,2,1,18,75
Other Assets +,421,550,626,755,706,739,801,940,"1,000","1,105","1,378","1,888","2,689"
Total Assets,661,899,"1,108","1,352","1,389","1,512","1,722","1,988","2,253","2,481","2,959","3,629","4,544"
