,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,481,499,493,524,641,670,859
Expenses +,481,517,489,514,611,636,746
Operating Profit,-0,-18,5,10,30,34,113
OPM %,-0%,-4%,1%,2%,5%,5%,13%
Other Income +,2,1,3,6,2,3,2
Interest,17,16,15,17,18,21,19
Depreciation,-4,11,12,12,12,12,14
Profit before tax,-11,-43,-19,-13,1,4,81
Tax %,-12%,-1%,-1%,4%,40%,10%,-0%
Net Profit,-12,-44,-19,-13,1,3,81
EPS in Rs,,,,,,,24.99
