,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,655,665,741,799,425,459,"1,065","1,158","1,327","1,198","1,569","2,027","2,441"
Borrowings +,410,900,"2,016","2,359","2,284","1,059",0,117,70,92,73,115,160
Other Liabilities +,493,665,518,968,731,"1,727",100,279,173,154,216,281,395
Total Liabilities,"1,593","2,265","3,310","4,161","3,474","3,280","1,200","1,589","1,605","1,479","1,893","2,459","3,031"
Fixed Assets +,591,599,"1,013","1,012","1,641",950,16,29,34,54,69,74,74
CWIP,48,405,666,"1,011",75,46,46,46,46,46,46,84,128
Investments,61,65,38,41,45,115,"1,080","1,126","1,312","1,282","1,639","2,079","2,584"
Other Assets +,893,"1,196","1,593","2,097","1,713","2,170",58,388,214,96,139,220,244
Total Assets,"1,593","2,265","3,310","4,161","3,474","3,280","1,200","1,589","1,605","1,479","1,893","2,459","3,031"
