,Mar 2021,Mar 2022,Sep 2022
Share Capital +,383,493,493
Reserves,-298,547,455
Borrowings +,901,887,951
Other Liabilities +,977,456,432
Total Liabilities,"1,963","2,382","2,332"
Fixed Assets +,"1,391","1,514","1,623"
CWIP,47,18,40
Investments,124,402,360
Other Assets +,401,448,308
Total Assets,"1,963","2,382","2,332"
