,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,913","2,228","2,425","2,645","3,065","3,479"
Expenses +,"1,693","1,938","2,090","2,157","2,463","2,778"
Operating Profit,220,291,335,488,602,701
OPM %,11%,13%,14%,18%,20%,20%
Other Income +,30,1,-20,19,27,29
Interest,5,4,7,7,8,5
Depreciation,24,28,41,47,45,49
Profit before tax,221,260,267,453,576,675
Tax %,34%,36%,23%,24%,26%,
Net Profit,145,166,205,345,424,503
EPS in Rs,,,4.10,6.92,8.49,10.09
