,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16
Reserves,220,268,287
Borrowings +,318,393,439
Other Liabilities +,148,280,232
Total Liabilities,701,957,974
Fixed Assets +,285,327,347
CWIP,1,1,18
Investments,16,16,16
Other Assets +,399,613,592
Total Assets,701,957,974
