,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,12,12,12,12
Reserves,224,740,872,"1,004",926,"1,428","1,222","1,353"
Borrowings +,13,12,19,14,14,0,5,0
Other Liabilities +,46,59,56,109,105,190,129,145
Total Liabilities,292,819,955,"1,135","1,057","1,631","1,369","1,510"
Fixed Assets +,11,14,16,17,17,17,17,17
CWIP,0,0,0,0,0,0,0,0
Investments,116,675,791,962,858,"1,412","1,168","1,296"
Other Assets +,165,131,148,156,182,203,184,197
Total Assets,292,819,955,"1,135","1,057","1,631","1,369","1,510"
