,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6
Reserves,75,106,140,226,259,300
Borrowings +,86,66,62,59,26,64
Other Liabilities +,72,73,63,87,107,101
Total Liabilities,239,251,271,378,398,472
Fixed Assets +,152,164,165,232,233,278
CWIP,8,12,11,12,20,28
Investments,1,1,1,2,16,16
Other Assets +,77,74,94,132,129,149
Total Assets,239,251,271,378,398,472
