,Mar 2021
Sales +,"1,422"
Expenses +,"1,255"
Operating Profit,168
OPM %,12%
Other Income +,169
Interest,817
Depreciation,781
Profit before tax,"-1,262"
Tax %,1%
Net Profit,"-1,220"
EPS in Rs,-284.72
