,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016
Share Capital +,69,40,40,40,41,44,48,49
Reserves,-20,32,39,-14,-55,-63,-199,-254
Borrowings +,196,167,152,188,190,185,96,169
Other Liabilities +,143,141,182,176,216,204,316,277
Total Liabilities,363,358,391,368,370,349,238,219
Fixed Assets +,152,139,130,121,111,110,51,43
CWIP,0,1,0,0,0,0,0,0
Investments,8,9,13,9,11,11,14,16
Other Assets +,203,209,247,238,249,228,173,161
Total Assets,363,358,391,368,370,349,238,219
