,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,293,339,377,462,452
Expenses +,184,206,211,259,268
Operating Profit,108,133,166,204,184
OPM %,37%,39%,44%,44%,41%
Other Income +,10,15,12,13,12
Interest,14,15,15,16,18
Depreciation,40,49,50,53,58
Profit before tax,65,83,112,147,120
Tax %,29%,25%,24%,25%,
Net Profit,46,63,85,111,90
EPS in Rs,101.29,138.00,18.64,10.76,8.81
