,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,232,194,206,199,189,194,218,202,184,146,117,104,95
Borrowings +,39,16,18,15,17,11,7,3,0,9,19,18,15
Other Liabilities +,149,150,93,103,95,104,82,96,66,66,41,43,64
Total Liabilities,426,366,323,323,307,315,313,306,256,227,183,170,180
Fixed Assets +,150,80,73,64,59,54,120,101,97,95,93,92,90
CWIP,0,1,0,0,0,0,0,0,0,0,0,0,0
Investments,32,37,36,36,25,28,60,48,11,0,0,0,0
Other Assets +,243,248,215,223,223,233,132,158,148,131,90,78,89
Total Assets,426,366,323,323,307,315,313,306,256,227,183,170,180
