,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,27,27,27,27,27,27,27,27,27,27,27
Reserves,75,115,155,163,176,187,170,161,144,78,-54,-267,-340
Borrowings +,104,159,181,185,318,397,425,385,376,417,470,760,817
Other Liabilities +,74,63,58,76,78,129,104,150,168,161,158,120,120
Total Liabilities,270,356,421,450,598,740,726,723,716,682,602,639,623
Fixed Assets +,95,103,137,150,185,200,330,321,317,301,282,308,300
CWIP,4,12,14,8,82,154,17,15,16,22,6,2,2
Investments,9,22,37,51,45,58,43,15,15,51,56,83,83
Other Assets +,163,219,233,241,286,329,336,372,368,309,257,245,238
Total Assets,270,356,421,450,598,740,726,723,716,682,602,639,623
