,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13
Reserves,38,37,39,274,275,265,262,273,271,263
Borrowings +,6,30,27,95,83,72,53,46,26,35
Other Liabilities +,91,94,125,220,262,271,240,258,265,302
Total Liabilities,148,174,205,602,634,621,568,590,576,614
Fixed Assets +,31,40,38,363,351,347,345,332,320,333
CWIP,0,1,5,1,8,7,19,19,19,0
Investments,0,3,1,13,10,13,0,2,0,0
Other Assets +,116,130,160,225,265,253,205,238,237,281
Total Assets,148,174,205,602,634,621,568,590,576,614
