,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,73,73,73,73,74,74,74,74
Reserves,837,"1,093","1,258","1,340","1,440","1,511","1,516","1,429"
Borrowings +,173,117,116,75,136,88,120,326
Other Liabilities +,200,183,203,245,271,433,474,542
Total Liabilities,"1,283","1,467","1,650","1,733","1,921","2,106","2,184","2,371"
Fixed Assets +,247,245,230,301,330,330,323,411
CWIP,3,4,10,12,10,16,20,25
Investments,795,995,"1,114","1,071","1,183","1,416","1,514","1,554"
Other Assets +,239,223,296,350,399,344,327,381
Total Assets,"1,283","1,467","1,650","1,733","1,921","2,106","2,184","2,371"
