,Sep 2006,Dec 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,14.34,14.33,14.32,14.32,14.32,14.32,14.32
Reserves,-34.88,-9.52,-8.10,-8.06,-7.38,-6.49,-4.83
Borrowings +,39.51,0.37,0.86,0.23,0.17,1.97,0.19
Other Liabilities +,3.94,0.94,0.26,0.35,0.16,0.24,0.10
Total Liabilities,22.91,6.12,7.34,6.84,7.27,10.04,9.78
Fixed Assets +,13.37,0.12,0.08,0.00,0.00,0.00,0.00
CWIP,8.96,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.04,0.05,2.67,1.17,1.92,0.57,0.04
Other Assets +,0.54,5.95,4.59,5.67,5.35,9.47,9.74
Total Assets,22.91,6.12,7.34,6.84,7.27,10.04,9.78
