,Sep 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,70,113,113,113,113,116,151,151,151,151,151,151
Reserves,361,609,705,757,755,784,701,358,-427,"-1,341","-1,409","-1,451"
Borrowings +,942,"1,088",936,"1,359","1,644","1,621","2,210","2,442","2,445","2,430","2,429","2,434"
Other Liabilities +,545,556,"1,060","1,101","1,699","1,749","1,280",490,276,148,178,156
Total Liabilities,"1,883","2,351","2,800","3,315","4,196","4,255","4,341","3,440","2,445","1,387","1,348","1,290"
Fixed Assets +,383,444,496,481,525,504,473,439,440,408,368,338
CWIP,114,8,62,55,84,95,102,102,68,59,59,59
Investments,0,1,0,0,0,0,0,0,0,0,0,0
Other Assets +,"1,386","1,898","2,242","2,779","3,586","3,656","3,766","2,899","1,937",920,921,892
Total Assets,"1,883","2,351","2,800","3,315","4,196","4,255","4,341","3,440","2,445","1,387","1,348","1,290"
