,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,16,16,16,16,16,16,16,16,16,16,16,16
Reserves,425,425,443,446,444,496,"1,245","1,488","1,516","1,503","2,126","2,343"
Borrowings +,659,710,786,812,931,"1,138","1,214",776,"1,037","1,277",958,819
Other Liabilities +,228,327,426,444,443,411,459,633,621,642,632,645
Total Liabilities,"1,328","1,479","1,670","1,718","1,834","2,061","2,935","2,913","3,189","3,438","3,733","3,822"
Fixed Assets +,596,574,636,767,746,752,"1,280","1,293","1,316","1,353","1,308","1,531"
CWIP,10,5,17,14,28,7,2,7,11,6,27,59
Investments,39,42,62,79,84,94,366,626,417,359,620,594
Other Assets +,683,857,956,858,976,"1,208","1,287",987,"1,445","1,720","1,777","1,639"
Total Assets,"1,328","1,479","1,670","1,718","1,834","2,061","2,935","2,913","3,189","3,438","3,733","3,822"
