,Mar 2010,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,16,16,16,16,17,17,17,17,17,17,17,17
Reserves,118,130,185,225,275,382,433,484,482,523,541,568,586
Borrowings +,47,36,46,61,92,70,138,95,17,60,122,70,154
Other Liabilities +,86,88,252,263,111,82,61,80,99,296,265,313,266
Total Liabilities,263,269,499,565,495,551,649,676,615,895,945,969,"1,023"
Fixed Assets +,98,93,108,126,142,137,150,194,178,161,153,160,157
CWIP,0,0,0,0,0,1,37,1,2,12,0,0,0
Investments,0,0,24,2,0,0,57,126,35,26,30,14,12
Other Assets +,165,176,367,436,354,413,405,355,400,696,762,795,853
Total Assets,263,269,499,565,495,551,649,676,615,895,945,969,"1,023"
