,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,30,30,30,58,72,72,72,72
Reserves,122,184,217,322,619,790,962,"1,126"
Borrowings +,862,"1,059","1,219","1,071","1,112","1,219","1,284","1,316"
Other Liabilities +,443,416,504,558,581,960,"1,069","1,332"
Total Liabilities,"1,457","1,689","1,970","1,996","2,373","3,029","3,375","3,835"
Fixed Assets +,111,122,111,128,123,126,127,122
CWIP,2,4,2,4,2,0,0,0
Investments,0,0,0,0,5,5,5,0
Other Assets +,"1,344","1,563","1,856","1,864","2,242","2,898","3,242","3,713"
Total Assets,"1,457","1,689","1,970","1,996","2,373","3,029","3,375","3,835"
