,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,5,5,5,5,5,5
Reserves,140,177,206,251,274,305,339,379,461,512
Borrowings +,284,315,353,411,451,504,510,534,590,535
Other Liabilities +,98,83,109,132,161,166,145,180,197,289
Total Liabilities,526,579,672,798,890,979,999,"1,098","1,253","1,340"
Fixed Assets +,124,203,235,256,252,333,341,325,364,373
CWIP,12,4,8,4,57,5,1,12,31,37
Investments,2,0,0,0,0,0,0,0,0,2
Other Assets +,387,372,428,538,581,642,657,760,859,928
Total Assets,526,579,672,798,890,979,999,"1,098","1,253","1,340"
