,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,37,39,41,41,41,41,41
Reserves,278,201,2,-32,-68,-89,-111,-167
Borrowings +,"1,378","1,013","1,168","1,134","1,106","1,071","1,058","1,057"
Other Liabilities +,787,863,943,"1,189","1,315","1,246","1,161",880
Total Liabilities,"2,480","2,114","2,152","2,333","2,394","2,268","2,149","1,812"
Fixed Assets +,"1,894","1,353","1,649","1,596","1,552","1,519","1,481","1,470"
CWIP,8,14,2,1,8,1,4,3
Investments,19,140,7,3,6,0,0,0
Other Assets +,559,607,495,732,828,749,664,339
Total Assets,"2,480","2,114","2,152","2,333","2,394","2,268","2,149","1,812"
