,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,36,36,36,36,36,36,36
Reserves,650,716,759,773,854,898,892
Borrowings +,84,112,89,65,64,99,136
Other Liabilities +,158,134,135,150,230,253,220
Total Liabilities,894,999,"1,019","1,024","1,184","1,286","1,285"
Fixed Assets +,471,461,454,440,416,422,411
CWIP,2,8,6,7,22,25,32
Investments,12,13,46,94,128,135,120
Other Assets +,409,516,513,483,618,704,722
Total Assets,894,999,"1,019","1,024","1,184","1,286","1,285"
