,Sep 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,24,52,55,55,54,53,57,58,58,58,58,58,58
Reserves,252,631,792,815,838,844,735,237,-226,-969,"-1,174","-1,244","-1,289"
Borrowings +,329,628,794,"1,242","1,709","1,838","2,022","2,313","2,273","2,195","2,195","2,195","1,310"
Other Liabilities +,123,503,893,877,"1,006","1,294","1,080","1,119","1,149",517,541,518,"1,402"
Total Liabilities,725,"1,812","2,530","2,986","3,604","4,028","3,894","3,725","3,253","1,800","1,618","1,526","1,481"
Fixed Assets +,268,333,392,370,461,433,"1,661","1,567","1,473","1,378","1,284","1,190","1,143"
CWIP,86,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,371,"1,479","2,139","2,615","3,144","3,595","2,233","2,158","1,780",422,335,336,338
Total Assets,725,"1,812","2,530","2,986","3,604","4,028","3,894","3,725","3,253","1,800","1,618","1,526","1,481"
