,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,13,13,13,13,13,13,14,14
Reserves,57,77,92,102,114,129,135,-76
Borrowings +,46,76,126,173,226,281,298,324
Other Liabilities +,22,31,45,102,142,297,337,198
Total Liabilities,138,197,276,389,494,720,784,460
Fixed Assets +,37,40,77,88,95,101,117,108
CWIP,11,43,32,47,50,47,31,32
Investments,9,0,0,0,0,0,15,15
Other Assets +,81,114,168,254,349,571,620,306
Total Assets,138,197,276,389,494,720,784,460
