,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"1,573","1,278","1,551","1,928","2,874"
Expenses +,"1,494","1,191","1,418","1,771","2,657"
Operating Profit,79,87,134,157,217
OPM %,5%,7%,9%,8%,8%
Other Income +,10,18,8,11,14
Interest,54,51,59,44,55
Depreciation,21,21,29,31,45
Profit before tax,14,33,54,93,131
Tax %,33%,20%,25%,36%,35%
Net Profit,10,26,41,60,85
EPS in Rs,0.30,0.82,0.93,1.37,1.95
