,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,24,24,24,24,24,24,24,24,24,24
Reserves,200,123,24,217,257,330,902,"1,051","1,191","1,278","1,415","1,738","1,899"
Borrowings +,"1,552","1,579","1,546","1,395","1,419","1,319","1,221","1,373","1,643","1,762","1,566","1,238","1,190"
Other Liabilities +,296,542,749,677,560,598,682,833,831,799,768,776,980
Total Liabilities,"2,063","2,260","2,335","2,313","2,260","2,272","2,830","3,281","3,689","3,863","3,773","3,777","4,093"
Fixed Assets +,"1,174","1,318","1,237","1,177","1,143","1,134","1,588","1,907","1,956","2,035","2,221","2,323","2,269"
CWIP,87,23,33,43,41,65,85,114,453,489,262,91,159
Investments,7,12,13,14,16,19,27,42,48,55,69,85,104
Other Assets +,794,907,"1,052","1,079","1,060","1,054","1,129","1,218","1,232","1,284","1,222","1,278","1,561"
Total Assets,"2,063","2,260","2,335","2,313","2,260","2,272","2,830","3,281","3,689","3,863","3,773","3,777","4,093"
