,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,148,148,148,153,154
Reserves,598,702,836,"1,103","1,243"
Borrowings +,0,0,0,0,212
Other Liabilities +,347,482,627,600,360
Total Liabilities,"1,093","1,333","1,612","1,856","1,970"
Fixed Assets +,381,426,533,750,854
CWIP,3,4,23,44,47
Investments,12,57,112,124,75
Other Assets +,697,846,943,938,994
Total Assets,"1,093","1,333","1,612","1,856","1,970"
