,Mar 2008,Mar 2009,Mar 2010
Sales +,144,180,203
Expenses +,133,168,179
Operating Profit,11,11,24
OPM %,7%,6%,12%
Other Income +,2,7,7
Interest,0,1,2
Depreciation,5,4,3
Profit before tax,8,13,25
Tax %,41%,40%,37%
Net Profit,5,8,16
EPS in Rs,462.00,0.69,1.39
