,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,16,16,16,16,16,16
Reserves,30,50,63,76,91,110,119
Borrowings +,24,15,10,21,21,19,3
Other Liabilities +,14,19,27,27,31,38,40
Total Liabilities,79,100,115,139,159,183,178
Fixed Assets +,49,52,56,83,79,76,79
CWIP,0,0,0,0,0,1,1
Investments,0,0,0,0,0,0,0
Other Assets +,30,47,59,56,79,107,99
Total Assets,79,100,115,139,159,183,178
