,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,39,43,56,42,56,69,75
Expenses +,44,48,55,45,50,63,70
Operating Profit,-5,-4,1,-3,6,6,5
OPM %,-12%,-10%,2%,-8%,11%,9%,6%
Other Income +,1,1,2,1,14,1,1
Interest,7,9,8,8,7,8,9
Depreciation,9,9,9,9,9,9,9
Profit before tax,-20,-20,-14,-19,4,-10,-12
Tax %,0%,0%,0%,0%,0%,0%,
Net Profit,-20,-20,-14,-19,4,-10,-12
EPS in Rs,-8.21,-8.44,-5.70,-7.97,1.64,-4.17,-4.92
