,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,17,17,17,17,17,17,17,17,17
Reserves,476,285,294,325,152,149,86,94,110,125,119,153,182
Borrowings +,6,29,25,21,20,21,18,15,16,15,24,11,0
Other Liabilities +,105,78,40,44,36,35,18,16,27,16,15,22,32
Total Liabilities,600,406,372,404,224,222,139,142,170,173,174,203,231
Fixed Assets +,475,269,289,317,135,142,91,91,106,118,115,119,128
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,125,137,83,87,89,80,48,51,64,55,59,84,103
Total Assets,600,406,372,404,224,222,139,142,170,173,174,203,231
