,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,156,325,415,557,633,762
Expenses +,146,296,368,495,541,653
Operating Profit,9,30,46,62,92,109
OPM %,6%,9%,11%,11%,14%,14%
Other Income +,36,56,14,135,28,34
Interest,0,2,4,8,7,6
Depreciation,4,18,21,32,37,45
Profit before tax,41,65,36,156,76,92
Tax %,11%,23%,18%,12%,35%,35%
Net Profit,39,51,29,137,49,60
EPS in Rs,3.27,4.12,2.68,13.93,4.89,5.90
