,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12
Reserves,181,189,215,230,225
Borrowings +,62,22,50,87,184
Other Liabilities +,54,55,112,138,164
Total Liabilities,309,278,389,468,584
Fixed Assets +,150,129,213,235,276
CWIP,1,11,9,0,8
Investments,14,13,2,1,1
Other Assets +,143,125,166,231,299
Total Assets,309,278,389,468,584
