,Mar 2006,Jun 2007,Jun 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,46,46,80,81,83,115,115,115,115,115
Reserves,231,165,97,21,101,33,-222,-670,-732,-765
Borrowings +,443,451,542,544,387,431,426,438,443,444
Other Liabilities +,447,587,339,362,386,185,249,385,428,448
Total Liabilities,"1,167","1,248","1,028",977,926,733,538,237,224,210
Fixed Assets +,524,830,798,755,697,604,493,143,132,122
CWIP,334,18,7,2,0,0,0,0,0,0
Investments,29,25,23,22,23,24,1,0,0,0
Other Assets +,281,375,199,198,206,105,44,94,92,88
Total Assets,"1,167","1,248","1,028",977,926,733,538,237,224,210
