,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,51.55,51.55,51.55,51.55,52.88,31.73,31.73,31.73
Reserves,-3.98,-9.84,-13.86,-17.68,-15.54,6.42,6.26,3.09
Borrowings +,35.63,24.26,22.23,22.83,12.67,6.96,4.44,3.08
Other Liabilities +,13.90,8.00,8.31,7.31,4.86,5.31,4.66,6.52
Total Liabilities,97.10,73.97,68.23,64.01,54.87,50.42,47.09,44.42
Fixed Assets +,73.44,50.76,45.67,41.70,35.13,33.48,29.00,25.94
CWIP,1.42,1.42,1.42,1.42,1.42,0.00,1.42,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,22.24,21.79,21.14,20.89,18.32,16.94,16.67,18.48
Total Assets,97.10,73.97,68.23,64.01,54.87,50.42,47.09,44.42
