,Mar 2014,Mar 2015,Mar 2016
Sales +,194,197,250
Expenses +,167,163,213
Operating Profit,27,34,36
OPM %,14%,17%,15%
Other Income +,2,2,2
Interest,13,12,12
Depreciation,3,2,3
Profit before tax,13,21,23
Tax %,36%,43%,33%
Net Profit,9,12,16
EPS in Rs,4.46,4.87,6.69
