,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,699,762,845,905,936,932,984,"1,036","1,083","1,114","1,040","1,065","1,047"
Borrowings +,648,"1,043",879,858,925,962,878,955,903,779,903,860,790
Other Liabilities +,443,293,527,609,628,640,696,710,696,718,423,443,429
Total Liabilities,"1,813","2,121","2,274","2,394","2,510","2,556","2,581","2,724","2,705","2,633","2,388","2,391","2,288"
Fixed Assets +,736,858,914,948,934,906,881,852,825,785,772,723,690
CWIP,82,150,139,122,91,99,102,100,100,115,99,85,86
Investments,5,0,0,0,1,1,1,1,1,0,1,1,0
Other Assets +,989,"1,113","1,221","1,324","1,485","1,551","1,597","1,771","1,780","1,733","1,517","1,582","1,512"
Total Assets,"1,813","2,121","2,274","2,394","2,510","2,556","2,581","2,724","2,705","2,633","2,388","2,391","2,288"
