,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,116,100,74,43,31,11,-11,-6,-37,-77,-75,109,98
Borrowings +,5,12,36,6,0,25,19,108,143,114,53,26,24
Other Liabilities +,18,30,21,18,19,36,67,93,212,293,373,86,52
Total Liabilities,170,174,163,100,82,104,107,228,350,361,382,253,206
Fixed Assets +,17,26,36,21,16,22,21,26,46,52,28,28,29
CWIP,2,11,11,11,11,0,1,0,0,0,0,0,0
Investments,11,5,12,8,1,15,18,91,137,159,98,97,113
Other Assets +,140,131,104,60,54,66,67,111,168,150,256,128,63
Total Assets,170,174,163,100,82,104,107,228,350,361,382,253,206
