,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,045","8,962",90,114,87,103,103,92,132,110,109
Expenses +,"7,183","8,676",90,107,85,99,106,97,128,119,116
Operating Profit,"-1,138",286,0,7,2,3,-3,-6,3,-9,-8
OPM %,-19%,3%,0%,6%,2%,3%,-3%,-6%,3%,-8%,-7%
Other Income +,521,191,4,2,2,5,2,-4,2,1,-2
Interest,126,138,2,2,3,3,3,4,5,6,6
Depreciation,133,102,1,1,1,1,1,2,2,2,2
Profit before tax,-876,237,1,6,0,5,-4,-16,-2,-15,-18
Tax %,0%,-2%,13%,3%,-63%,11%,2%,1%,11%,-0%,
Net Profit,-876,243,1,6,0,4,-4,-15,-2,-16,-18
EPS in Rs,"-1,412.35",391.97,1.40,6.27,0.48,4.85,-3.32,-23.19,-2.56,-21.15,-24.89
