,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,375,338,491,501
Expenses +,288,210,400,489
Operating Profit,86,128,91,12
OPM %,23%,38%,19%,2%
Other Income +,-9,1,1,1
Interest,5,1,4,11
Depreciation,9,14,15,16
Profit before tax,63,114,73,-14
Tax %,24%,26%,27%,
Net Profit,48,85,54,-12
EPS in Rs,55.98,98.99,62.75,-13.84
