,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,21,21,21,21,21,21,21
Reserves,123,275,320,380,425,496,574,634
Borrowings +,139,117,142,170,194,197,222,193
Other Liabilities +,170,163,199,211,180,245,225,354
Total Liabilities,447,577,682,782,821,960,"1,042","1,203"
Fixed Assets +,147,132,191,229,244,295,291,294
CWIP,0,3,0,16,61,0,0,5
Investments,0,0,0,0,0,0,0,0
Other Assets +,299,443,492,538,515,665,751,904
Total Assets,447,577,682,782,821,960,"1,042","1,203"
