,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,12,12,12,13
Reserves,28,30,47,69,87
Borrowings +,36,32,43,64,73
Other Liabilities +,49,82,90,108,111
Total Liabilities,119,155,192,253,283
Fixed Assets +,9,9,10,11,10
CWIP,0,0,0,0,0
Investments,1,1,0,0,0
Other Assets +,108,145,182,243,273
Total Assets,119,155,192,253,283
