,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,102,116,132,183,201
Expenses +,69,85,92,115,123
Operating Profit,32,32,40,68,79
OPM %,32%,27%,30%,37%,39%
Other Income +,-2,0,1,1,2
Interest,0,1,1,5,4
Depreciation,8,9,9,13,14
Profit before tax,22,23,31,50,62
Tax %,19%,20%,19%,18%,
Net Profit,17,18,25,41,51
EPS in Rs,2.49,2.37,2.49,5.90,6.93
