,Mar 2021,Mar 2022,Sep 2022
Share Capital +,252,252,42
Reserves,432,684,884
Borrowings +,542,782,940
Other Liabilities +,433,616,584
Total Liabilities,"1,449","2,124","2,449"
Fixed Assets +,"1,102","1,068","1,807"
CWIP,126,589,83
Investments,0,0,0
Other Assets +,221,467,559
Total Assets,"1,449","2,124","2,449"
