,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,16,16,16,16,16,16,16,16,16
Reserves,208,267,346,489,725,956,"1,159","1,334","1,559","1,698","1,853","2,106","2,221"
Borrowings +,288,278,320,236,243,294,213,170,120,166,126,165,222
Other Liabilities +,300,331,367,435,575,653,652,620,677,557,530,699,675
Total Liabilities,810,891,"1,048","1,176","1,559","1,918","2,040","2,140","2,372","2,437","2,525","2,986","3,133"
Fixed Assets +,491,521,620,692,860,"1,121","1,177","1,145","1,078","1,195","1,192","1,150","1,458"
CWIP,0,2,8,41,78,8,8,18,93,27,15,263,56
Investments,3,0,0,0,0,0,0,0,0,10,5,0,0
Other Assets +,315,368,420,443,621,790,854,977,"1,200","1,206","1,313","1,573","1,620"
Total Assets,810,891,"1,048","1,176","1,559","1,918","2,040","2,140","2,372","2,437","2,525","2,986","3,133"
