,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,464,547,609,642,622,756,906,960,"1,104","1,126","1,270","1,491","1,512"
Borrowings +,349,338,279,293,336,274,369,255,301,261,159,55,36
Other Liabilities +,420,453,484,520,465,358,415,390,427,393,422,465,471
Total Liabilities,"1,261","1,365","1,398","1,482","1,449","1,415","1,716","1,632","1,859","1,808","1,879","2,039","2,047"
Fixed Assets +,553,568,577,541,527,511,658,650,700,711,716,712,703
CWIP,18,8,9,26,21,61,30,98,58,32,52,71,157
Investments,101,109,113,129,114,208,358,261,356,267,366,409,329
Other Assets +,589,680,700,786,787,635,671,623,745,798,745,847,857
Total Assets,"1,261","1,365","1,398","1,482","1,449","1,415","1,716","1,632","1,859","1,808","1,879","2,039","2,047"
