,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,267,301,346,405,438,479,631
Expenses +,221,251,284,335,361,384,511
Operating Profit,46,50,62,70,77,95,121
OPM %,17%,17%,18%,17%,18%,20%,19%
Other Income +,0,1,1,1,1,1,2
Interest,1,2,5,8,10,10,9
Depreciation,8,10,13,16,19,22,26
Profit before tax,37,38,45,48,48,64,87
Tax %,34%,37%,38%,33%,23%,25%,26%
Net Profit,24,24,28,32,37,48,64
EPS in Rs,8.55,8.57,9.87,11.32,13.23,17.27,20.37
