,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
Reserves,-317.74,-322.05,-314.75,-318.09,-336.75,-343.19,-345.67,-347.15
Borrowings +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,670.62,637.62,637.37,"2,167.75","2,285.96","2,240.48","2,241.25","2,240.47"
Total Liabilities,358.89,321.58,328.63,"1,855.67","1,955.22","1,903.30","1,901.59","1,899.33"
Fixed Assets +,161.66,179.08,168.29,224.71,220.50,215.88,210.78,206.62
CWIP,1.29,0.29,2.25,5.42,5.34,4.26,5.12,6.28
Investments,0.12,0.19,0.19,0.20,0.09,0.10,0.13,0.15
Other Assets +,195.82,142.02,157.90,"1,625.34","1,729.29","1,683.06","1,685.56","1,686.28"
Total Assets,358.89,321.58,328.63,"1,855.67","1,955.22","1,903.30","1,901.59","1,899.33"
