,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,174,174,174,433,433,183,183,229,237,245,256,268,183
Reserves,"1,504","1,597","1,685","1,746","1,794","1,848","1,936","1,789","1,332","1,231",997,837,926
Borrowings +,"1,342","1,105","1,082","1,049","1,096","1,328","1,503","1,756","1,803","1,609","1,457","1,043","1,277"
Other Liabilities +,"2,212","2,538","2,733","3,475","3,835","4,353","4,704","4,400","7,442","7,527","8,406","9,855","10,385"
Total Liabilities,"5,232","5,414","5,674","6,453","6,908","7,712","8,326","8,128","10,760","10,549","11,042","11,918","12,770"
Fixed Assets +,92,105,129,131,118,600,604,604,599,747,671,627,605
CWIP,2,0,0,0,0,0,0,0,0,0,0,0,0
Investments,11,11,11,16,20,22,12,12,12,12,12,13,13
Other Assets +,"5,128","5,298","5,534","6,306","6,769","7,091","7,710","7,512","10,149","9,789","10,359","11,278","12,153"
Total Assets,"5,232","5,414","5,674","6,453","6,908","7,712","8,326","8,128","10,760","10,549","11,042","11,918","12,770"
