,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,105,133,168,187
Expenses +,97,121,154,173
Operating Profit,9,12,14,15
OPM %,8%,9%,8%,8%
Other Income +,1,1,1,2
Interest,2,2,3,4
Depreciation,2,2,3,3
Profit before tax,6,8,9,9
Tax %,25%,29%,28%,
Net Profit,5,5,7,7
EPS in Rs,3.19,3.64,4.37,4.64
