,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,9,9,10,10,10,10,10,10,10,10,10,10
Reserves,563,689,885,"1,111","1,278","1,513","1,857","2,141","2,464","2,453","2,894","5,069","5,431"
Borrowings +,"1,498","1,679","1,482","1,090","1,497","1,461","1,665","7,593","10,022","12,314","12,853","16,593","19,681"
Other Liabilities +,"1,728","1,834","1,907","2,345","2,740","3,233","3,785","5,016","5,674","5,835","7,551","8,662","10,103"
Total Liabilities,"3,808","4,212","4,283","4,555","5,525","6,216","7,317","14,761","18,170","20,612","23,309","30,334","35,225"
Fixed Assets +,"1,643","1,772","1,980","1,909","2,040","2,468","2,851","3,627","4,030","4,460","4,850","6,339","6,543"
CWIP,90,270,48,57,102,69,101,396,756,"1,017","1,050",560,385
Investments,300,358,410,499,601,"1,055","1,333",607,618,472,673,644,818
Other Assets +,"1,775","1,812","1,845","2,090","2,782","2,624","3,032","10,131","12,766","14,663","16,735","22,790","27,479"
Total Assets,"3,808","4,212","4,283","4,555","5,525","6,216","7,317","14,761","18,170","20,612","23,309","30,334","35,225"
