,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,37,37,37,537,37,19,19,19,19,19,19,19
Reserves,990,"1,273","1,622","1,914","2,290","3,287","2,745","3,291","3,925","4,572","5,367","6,427","6,868"
Borrowings +,"8,751","12,284","16,604","19,464","20,931","1,441",0,"38,200","50,447","55,117","63,797","69,229","79,305"
Other Liabilities +,"2,738","3,256","4,837","5,887","7,079","4,900","5,129","11,897","13,547","16,147","19,432","22,097","23,652"
Total Liabilities,"12,516","16,850","23,100","27,302","30,338","9,665","7,892","53,407","67,937","75,855","88,616","97,772","109,844"
Fixed Assets +,720,792,"1,258","1,318","1,521","1,336",102,311,306,479,447,464,516
CWIP,28,42,164,201,40,56,0,4,14,11,10,40,39
Investments,903,"1,130","1,688","2,116","2,665","5,141","6,536","6,211","7,552","8,893","11,678","13,282","15,003"
Other Assets +,"10,865","14,886","19,990","23,667","26,112","3,131","1,254","46,881","60,065","66,472","76,481","83,985","94,286"
Total Assets,"12,516","16,850","23,100","27,302","30,338","9,665","7,892","53,407","67,937","75,855","88,616","97,772","109,844"
