,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales +,49,113,272,235,242,99
Expenses +,38,77,188,162,179,122
Operating Profit,11,36,85,73,63,-22
OPM %,22%,32%,31%,31%,26%,-22%
Other Income +,1,2,2,2,11,-2
Interest,1,2,3,13,24,31
Depreciation,4,6,9,18,19,26
Profit before tax,7,30,75,44,30,-81
Tax %,33%,26%,30%,24%,39%,33%
Net Profit,5,22,53,33,18,-54
EPS in Rs,,20.42,44.88,26.42,13.64,-42.78
