,Mar 2015
Sales +,"2,009"
Expenses +,"1,924"
Operating Profit,86
OPM %,4%
Other Income +,6
Interest,24
Depreciation,32
Profit before tax,36
Tax %,47%
Net Profit,19
EPS in Rs,10.76
