,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,161,183,186,242,242,242,242,242,242,288,301,301,301
Reserves,355,838,"1,180","1,457","1,840","1,986","1,710","1,446",612,655,819,-377,-547
Borrowings +,538,233,900,"1,172","1,454","1,580","1,791","1,104",973,865,815,987,"1,041"
Other Liabilities +,385,376,733,660,797,556,511,420,376,270,232,195,185
Total Liabilities,"1,439","1,630","3,000","3,531","4,333","4,364","4,254","3,212","2,203","2,078","2,167","1,106",979
Fixed Assets +,435,510,"1,068","1,160","1,168","1,109",956,624,356,343,616,352,166
CWIP,17,26,34,43,44,47,31,33,303,356,358,1,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,986,"1,094","1,898","2,328","3,121","3,208","3,267","2,556","1,543","1,379","1,193",753,813
Total Assets,"1,439","1,630","3,000","3,531","4,333","4,364","4,254","3,212","2,203","2,078","2,167","1,106",979
