,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,92,64,157,213,298,293
Expenses +,89,60,145,195,268,259
Operating Profit,3,3,12,18,31,34
OPM %,4%,5%,7%,9%,10%,11%
Other Income +,3,4,3,5,4,2
Interest,3,2,4,7,7,6
Depreciation,3,3,5,7,10,11
Profit before tax,1,2,6,10,18,19
Tax %,-184%,20%,40%,40%,33%,
Net Profit,3,1,3,6,12,11
EPS in Rs,,,1.83,3.23,6.82,5.92
