,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,692,675,755,"1,153","1,166"
Expenses +,511,494,550,948,985
Operating Profit,181,181,205,205,181
OPM %,26%,27%,27%,18%,16%
Other Income +,8,6,6,7,9
Interest,4,3,5,6,8
Depreciation,14,16,21,30,30
Profit before tax,171,168,185,176,151
Tax %,29%,25%,29%,27%,
Net Profit,121,126,131,128,112
EPS in Rs,103.65,51.00,42.19,41.72,35.88
