,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,23,23,23,23,24,24,24,24,24,25,28,28
Reserves,77,55,78,116,88,88,93,59,-10,-27,77,103
Borrowings +,244,344,438,486,536,636,639,713,736,780,615,458
Other Liabilities +,162,210,154,179,160,219,299,318,223,171,393,170
Total Liabilities,506,631,692,803,808,966,"1,055","1,113",974,949,"1,112",760
Fixed Assets +,242,248,477,448,481,504,636,621,588,562,551,528
CWIP,25,178,5,8,27,139,15,3,2,2,2,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,240,206,210,347,300,323,404,490,384,386,560,230
Total Assets,506,631,692,803,808,966,"1,055","1,113",974,949,"1,112",760
