,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,31,31,33,33,35,35,37,36,36,36,36,36
Reserves,324,442,502,693,813,"1,261","1,614","3,035","3,452","3,737","4,085","4,227","4,535"
Borrowings +,220,259,338,240,312,113,222,173,386,316,268,416,86
Other Liabilities +,135,173,209,229,226,413,446,470,428,498,403,430,421
Total Liabilities,707,905,"1,080","1,196","1,384","1,822","2,318","3,715","4,303","4,588","4,792","5,109","5,078"
Fixed Assets +,270,320,583,645,710,710,833,"1,019","1,227","1,584","2,023","2,312","2,379"
CWIP,76,164,106,124,129,212,336,480,638,518,223,130,144
Investments,63,63,2,2,2,22,32,76,169,112,304,308,378
Other Assets +,299,359,389,425,543,878,"1,116","2,140","2,270","2,373","2,242","2,360","2,177"
Total Assets,707,905,"1,080","1,196","1,384","1,822","2,318","3,715","4,303","4,588","4,792","5,109","5,078"
